"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"1","A1",0.1504,0,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"2","B1",0.1386,0,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"3","C1",0.138,0,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"4","D1",0.1613,0,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"5","E1",0.1985,0,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"6","F1",0.3191,0,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"8","H1",0.1151,0,1,"1-H1","Blank","","YPD",1
"9","A1",0.1699,2,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"10","B1",0.1536,2,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"11","C1",0.1504,2,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"12","D1",0.1709,2,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"13","E1",0.2034,2,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"14","F1",0.3198,2,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"16","H1",0.1147,2,1,"1-H1","Blank","","YPD",1
"17","A1",0.1882,4,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"18","B1",0.166,4,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"19","C1",0.1626,4,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"20","D1",0.1693,4,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"21","E1",0.2027,4,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"22","F1",0.3144,4,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"24","H1",0.115,4,1,"1-H1","Blank","","YPD",1
"25","A1",0.1812,6,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"26","B1",0.1696,6,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"27","C1",0.1668,6,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"28","D1",0.1658,6,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"29","E1",0.2015,6,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"30","F1",0.3027,6,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"32","H1",0.1146,6,1,"1-H1","Blank","","YPD",1
"33","A1",0.2009,8,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"34","B1",0.1727,8,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"35","C1",0.178,8,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"36","D1",0.1634,8,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"37","E1",0.2012,8,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"38","F1",0.2976,8,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"40","H1",0.1141,8,1,"1-H1","Blank","","YPD",1
"41","A1",0.2793,10,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"42","B1",0.2065,10,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"43","C1",0.2209,10,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"44","D1",0.1595,10,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"45","E1",0.1999,10,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"46","F1",0.2849,10,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"48","H1",0.1142,10,1,"1-H1","Blank","","YPD",1
"49","A1",0.5167,12,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"50","B1",0.2772,12,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"51","C1",0.2749,12,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"52","D1",0.1606,12,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"53","E1",0.2021,12,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"54","F1",0.2754,12,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"56","H1",0.1136,12,1,"1-H1","Blank","","YPD",1
"57","A1",0.8727,14,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"58","B1",0.3618,14,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"59","C1",0.3076,14,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"60","D1",0.162,14,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"61","E1",0.1998,14,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"62","F1",0.2668,14,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"64","H1",0.1142,14,1,"1-H1","Blank","","YPD",1
"65","A1",1.3159,16,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"66","B1",0.5378,16,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"67","C1",0.8399,16,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"68","D1",0.1691,16,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"69","E1",0.2018,16,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"70","F1",0.2636,16,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"72","H1",0.1135,16,1,"1-H1","Blank","","YPD",1
"73","A1",1.5317,18,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"74","B1",1.1425,18,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"75","C1",1.2647,18,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"76","D1",0.1867,18,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"77","E1",0.2033,18,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"78","F1",0.2866,18,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"80","H1",0.1139,18,1,"1-H1","Blank","","YPD",1
"81","A1",1.6498,20,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"82","B1",1.5465,20,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"83","C1",1.5993,20,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"84","D1",0.2277,20,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"85","E1",0.2179,20,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"86","F1",0.3389,20,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"88","H1",0.1133,20,1,"1-H1","Blank","","YPD",1
"89","A1",1.6725,22,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"90","B1",1.663,22,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"91","C1",1.6764,22,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"92","D1",0.4816,22,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"93","E1",0.2865,22,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"94","F1",0.6145,22,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"96","H1",0.1134,22,1,"1-H1","Blank","","YPD",1
"97","A1",1.6661,24,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"98","B1",1.6712,24,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"99","C1",1.6825,24,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"100","D1",0.957,24,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"101","E1",0.6073,24,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"102","F1",0.9041,24,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"104","H1",0.1135,24,1,"1-H1","Blank","","YPD",1
"105","A1",1.6561,26,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"106","B1",1.6662,26,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"107","C1",1.6811,26,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"108","D1",1.4781,26,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"109","E1",1.0028,26,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"110","F1",1.347,26,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"112","H1",0.1127,26,1,"1-H1","Blank","","YPD",1
"113","A1",1.6605,28,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"114","B1",1.6664,28,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"115","C1",1.6675,28,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"116","D1",1.6882,28,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"117","E1",1.4657,28,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"118","F1",1.7229,28,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"120","H1",0.1134,28,1,"1-H1","Blank","","YPD",1
"121","A1",1.6639,30,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"122","B1",1.6566,30,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"123","C1",1.6573,30,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"124","D1",1.7668,30,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"125","E1",1.7202,30,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"126","F1",1.7935,30,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"128","H1",0.1136,30,1,"1-H1","Blank","","YPD",1
"129","A1",1.6696,32,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"130","B1",1.648,32,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"131","C1",1.6498,32,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"132","D1",1.7905,32,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"133","E1",1.7845,32,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"134","F1",1.7932,32,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"136","H1",0.113,32,1,"1-H1","Blank","","YPD",1
"137","A1",1.6811,34,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"138","B1",1.6616,34,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"139","C1",1.6587,34,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"140","D1",1.7992,34,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"141","E1",1.8097,34,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"142","F1",1.7721,34,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"144","H1",0.1135,34,1,"1-H1","Blank","","YPD",1
"145","A1",1.6844,36,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"146","B1",1.6872,36,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"147","C1",1.6302,36,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"148","D1",1.7882,36,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"149","E1",1.7948,36,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"150","F1",1.7274,36,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"152","H1",0.1133,36,1,"1-H1","Blank","","YPD",1
"153","A1",1.6997,38,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"154","B1",1.7269,38,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"155","C1",1.609,38,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"156","D1",1.7934,38,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"157","E1",1.7919,38,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"158","F1",1.7395,38,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"160","H1",0.1125,38,1,"1-H1","Blank","","YPD",1
"161","A1",1.6933,40,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"162","B1",1.7538,40,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"163","C1",1.5988,40,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"164","D1",1.7844,40,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"165","E1",1.7793,40,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"166","F1",1.7463,40,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"168","H1",0.1133,40,1,"1-H1","Blank","","YPD",1
"169","A1",1.6966,42,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"170","B1",1.7457,42,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"171","C1",1.621,42,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"172","D1",1.7839,42,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"173","E1",1.8051,42,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"174","F1",1.7687,42,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"176","H1",0.1128,42,1,"1-H1","Blank","","YPD",1
"177","A1",1.797,44,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"178","B1",1.8385,44,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"179","C1",1.8347,44,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"180","D1",1.7799,44,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"181","E1",1.7918,44,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"182","F1",1.7609,44,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"184","H1",0.1111,44,1,"1-H1","Blank","","YPD",1
"185","A1",1.6941,46,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"186","B1",1.8176,46,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"187","C1",1.7833,46,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"188","D1",1.7546,46,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"189","E1",1.752,46,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"190","F1",1.7118,46,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"192","H1",0.1106,46,1,"1-H1","Blank","","YPD",1
"193","A1",1.7754,48,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"194","B1",1.8549,48,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"195","C1",1.8888,48,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"196","D1",1.7776,48,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"197","E1",1.7629,48,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"198","F1",1.772,48,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"200","H1",0.1132,48,1,"1-H1","Blank","","YPD",1
"201","A1",1.7826,50,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"202","B1",1.8464,50,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"203","C1",1.7618,50,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"204","D1",1.7543,50,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"205","E1",1.7659,50,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"206","F1",1.7456,50,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"208","H1",0.1127,50,1,"1-H1","Blank","","YPD",1
"209","A1",1.8463,52,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"210","B1",1.8683,52,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"211","C1",1.9186,52,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"212","D1",1.7906,52,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"213","E1",1.8035,52,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"214","F1",1.8003,52,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"216","H1",0.1117,52,1,"1-H1","Blank","","YPD",1
"217","A1",1.8765,54,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"218","B1",1.8955,54,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"219","C1",1.964,54,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"220","D1",1.7743,54,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"221","E1",1.8115,54,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"222","F1",1.8639,54,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"224","H1",0.1103,54,1,"1-H1","Blank","","YPD",1
"225","A1",1.8827,56,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"226","B1",1.9268,56,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"227","C1",1.936,56,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"228","D1",1.8093,56,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"229","E1",1.8119,56,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"230","F1",1.8525,56,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"232","H1",0.1109,56,1,"1-H1","Blank","","YPD",1
"233","A1",1.827,58,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"234","B1",1.9512,58,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"235","C1",1.9149,58,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"236","D1",1.7836,58,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"237","E1",1.7897,58,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"238","F1",1.804,58,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"240","H1",0.1106,58,1,"1-H1","Blank","","YPD",1
"241","A1",1.9335,60,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"242","B1",1.9395,60,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"243","C1",1.955,60,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"244","D1",1.776,60,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"245","E1",1.7868,60,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"246","F1",1.5593,60,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"248","H1",0.1115,60,1,"1-H1","Blank","","YPD",1
"249","A1",1.954,62,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"250","B1",1.9767,62,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"251","C1",2.023,62,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"252","D1",1.7842,62,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"253","E1",1.8093,62,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"254","F1",1.795,62,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"256","H1",0.1111,62,1,"1-H1","Blank","","YPD",1
"257","A1",1.9113,64,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"258","B1",2.0106,64,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"259","C1",2.0021,64,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"260","D1",1.7537,64,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"261","E1",1.7861,64,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"262","F1",1.6621,64,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"264","H1",0.1105,64,1,"1-H1","Blank","","YPD",1
"265","A1",1.9456,66,1,"1-A1","YHL033C-Y7039","Liquid","YPD",1
"266","B1",2.0258,66,1,"1-B1","YIL066C-Y7039","Liquid","YPD",1
"267","C1",2.0228,66,1,"1-C1","YML058W-A-Y7039","Liquid","YPD",1
"268","D1",1.7263,66,1,"1-D1","YHL033C-Y7039","Dried","YPD",1
"269","E1",1.7882,66,1,"1-E1","YIL066C-Y7039","Dried","YPD",1
"270","F1",1.8183,66,1,"1-F1","YML058W-A-Y7039","Dried","YPD",1
"272","H1",0.1091,66,1,"1-H1","Blank","","YPD",1
"273","A2",0.1539,0,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"274","B2",0.1436,0,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"275","C2",0.1442,0,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"276","D2",0.1679,0,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"277","E2",0.1429,0,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"278","F2",0.1503,0,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"280","H2",0.1122,0,1,"1-H2","Blank","","YPD",2
"281","A2",0.1749,2,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"282","B2",0.162,2,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"283","C2",0.1574,2,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"284","D2",0.1709,2,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"285","E2",0.1368,2,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"286","F2",0.163,2,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"288","H2",0.1122,2,1,"1-H2","Blank","","YPD",2
"289","A2",0.1838,4,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"290","B2",0.1744,4,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"291","C2",0.1736,4,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"292","D2",0.1656,4,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"293","E2",0.1388,4,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"294","F2",0.1686,4,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"296","H2",0.1116,4,1,"1-H2","Blank","","YPD",2
"297","A2",0.1787,6,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"298","B2",0.1759,6,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"299","C2",0.1694,6,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"300","D2",0.1528,6,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"301","E2",0.1393,6,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"302","F2",0.1708,6,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"304","H2",0.1112,6,1,"1-H2","Blank","","YPD",2
"305","A2",0.2115,8,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"306","B2",0.187,8,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"307","C2",0.1733,8,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"308","D2",0.148,8,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"309","E2",0.1429,8,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"310","F2",0.1698,8,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"312","H2",0.1111,8,1,"1-H2","Blank","","YPD",2
"313","A2",0.2809,10,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"314","B2",0.197,10,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"315","C2",0.1876,10,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"316","D2",0.1467,10,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"317","E2",0.1434,10,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"318","F2",0.1678,10,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"320","H2",0.111,10,1,"1-H2","Blank","","YPD",2
"321","A2",0.3877,12,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"322","B2",0.2384,12,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"323","C2",0.2137,12,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"324","D2",0.1476,12,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"325","E2",0.1456,12,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"326","F2",0.1653,12,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"328","H2",0.111,12,1,"1-H2","Blank","","YPD",2
"329","A2",0.5354,14,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"330","B2",0.5304,14,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"331","C2",0.3422,14,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"332","D2",0.1465,14,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"333","E2",0.1512,14,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"334","F2",0.1687,14,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"336","H2",0.1112,14,1,"1-H2","Blank","","YPD",2
"337","A2",0.9589,16,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"338","B2",0.821,16,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"339","C2",0.6665,16,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"340","D2",0.1488,16,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"341","E2",0.155,16,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"342","F2",0.1726,16,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"344","H2",0.1112,16,1,"1-H2","Blank","","YPD",2
"345","A2",1.3878,18,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"346","B2",1.4705,18,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"347","C2",1.3226,18,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"348","D2",0.1574,18,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"349","E2",0.1596,18,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"350","F2",0.1918,18,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"352","H2",0.1109,18,1,"1-H2","Blank","","YPD",2
"353","A2",1.4653,20,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"354","B2",1.6377,20,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"355","C2",1.3503,20,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"356","D2",0.1699,20,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"357","E2",0.1729,20,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"358","F2",0.2086,20,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"360","H2",0.1112,20,1,"1-H2","Blank","","YPD",2
"361","A2",1.5025,22,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"362","B2",1.6851,22,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"363","C2",1.6836,22,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"364","D2",0.3322,22,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"365","E2",0.1964,22,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"366","F2",0.259,22,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"368","H2",0.1107,22,1,"1-H2","Blank","","YPD",2
"369","A2",1.5597,24,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"370","B2",1.6843,24,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"371","C2",1.693,24,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"372","D2",0.8332,24,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"373","E2",0.5082,24,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"374","F2",0.7243,24,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"376","H2",0.1107,24,1,"1-H2","Blank","","YPD",2
"377","A2",1.6275,26,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"378","B2",1.6819,26,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"379","C2",1.6989,26,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"380","D2",1.5239,26,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"381","E2",1.3318,26,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"382","F2",0.8634,26,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"384","H2",0.1106,26,1,"1-H2","Blank","","YPD",2
"385","A2",1.6455,28,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"386","B2",1.6759,28,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
