"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"273","A1",0.1427,68,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"274","B1",0.9865,68,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"275","C1",1.6726,68,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"276","D1",1.6518,68,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"279","G1",0.1107,68,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"280","H1",0.1063,68,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"281","A1",0.142,70,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"282","B1",0.9913,70,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"283","C1",1.724,70,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"284","D1",1.6638,70,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"287","G1",0.1107,70,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"288","H1",0.1062,70,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"289","A1",0.1406,72,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"290","B1",0.9944,72,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"291","C1",1.7756,72,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"292","D1",1.6726,72,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"295","G1",0.1103,72,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"296","H1",0.1061,72,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"297","A2",0.1192,0,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"298","B2",0.126,0,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"299","C2",0.122,0,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
"300","D2",0.1215,0,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"303","G2",0.1208,0,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"304","H2",0.1106,0,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"305","A2",0.1301,2,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"306","B2",0.1495,2,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"307","C2",0.1271,2,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
"308","D2",0.1246,2,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"311","G2",0.1201,2,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"312","H2",0.1103,2,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"313","A2",0.1519,4,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"314","B2",0.1615,4,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"315","C2",0.1374,4,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
"316","D2",0.1306,4,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"319","G2",0.1201,4,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"320","H2",0.1102,4,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"321","A2",0.1706,6,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"322","B2",0.157,6,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"323","C2",0.154,6,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
"324","D2",0.139,6,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"327","G2",0.1198,6,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"328","H2",0.11,6,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"329","A2",0.1793,8,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"330","B2",0.153,8,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"331","C2",0.1746,8,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
